State,13 to 17,,18 to 24,,25 to 64,,65 and order,,All Adults (age 18+),
Nevada,"1,300",0.74%,"1,750",0.70%,"9,100",0.61%,"1,750",0.49%,"12,700",0.61%
New Hampshire,450,0.55%,650,0.50%,"3,100",0.43%,750,0.39%,"4,500",0.43%
New Jersey,"3,850",0.65%,"3,950",0.51%,"21,050",0.44%,"5,050",0.41%,"30,100",0.44%
New Mexico,"1,200",0.88%,"1,800",0.85%,"8,000",0.75%,"1,850",0.62%,"11,750",0.75%
New York,"9,750",0.79%,"11,150",0.56%,"54,150",0.51%,"12,850",0.47%,"78,600",0.51%
North Carolina,"4,650",0.74%,"6,600",0.68%,"31,050",0.60%,"7,150",0.53%,"44,750",0.60%
North Dakota,200,0.53%,300,0.34%,"1,050",0.30%,300,0.29%,"1,650",0.30%
Ohio,"5,900",0.76%,"5,550",0.50%,"27,150",0.45%,"7,000",0.41%,"39,950",0.45%
Oklahoma,"2,100",0.83%,"2,800",0.72%,"12,600",0.64%,"2,900",0.55%,"18,350",0.64%
Oregon,"1,700",0.70%,"2,800",0.76%,"13,700",0.65%,"3,150",0.55%,"19,750",0.65%
Pennsylvania,"5,250",0.65%,"6,100",0.48%,"29,250",0.44%,"8,250",0.40%,"43,800",0.44%
Rhode Island,400,0.62%,650,0.56%,"2,800",0.51%,750,0.46%,"4,250",0.51%
South Carolina,"2,150",0.73%,"3,150",0.64%,"14,250",0.58%,"3,450",0.50%,"21,000",0.58%
South Dakota,300,0.57%,350,0.39%,"1,400",0.34%,350,0.30%,"2,150",0.34%
Tennessee,"3,150",0.74%,"4,250",0.68%,"21,550",0.63%,"5,150",0.56%,"31,200",0.63%
Texas,"13,800",0.73%,"19,600",0.73%,"88,950",0.66%,"15,700",0.55%,"125,350",0.66%
Utah,"1,400",0.61%,"1,350",0.42%,"4,950",0.36%,800,0.30%,"7,200",0.36%
Vermont,250,0.71%,450,0.67%,"2,000",0.59%,550,0.53%,"3,000",0.59%
Virginia,"4,150",0.80%,"5,150",0.62%,"24,000",0.54%,"5,200",0.49%,"34,500",0.55%
Washington,"3,100",0.70%,"4,850",0.73%,"23,150",0.62%,"4,700",0.52%,"32,850",0.62%
West Virginia,"1,150",1.04%,750,0.44%,"4,150",0.42%,"1,200",0.38%,"6,100",0.42%
Wisconsin,"1,850",0.50%,"2,700",0.49%,"13,150",0.43%,"3,250",0.39%,"19,150",0.43%
Wyoming,200,0.50%,200,0.37%,"1,000",0.32%,200,0.29%,"1,400",0.32%
